latitude,longitude,elevation in feet,key saddle latitude,key saddle longitude,prominence in feet,isolation latitude,isolation longitude,isolation in km
-9.6742,-77.3117,17368,-9.6083,-77.2858,2027,-9.6000,-77.3142,8.2076
-8.9225,-76.9667,14819,-8.8500,-76.9075,2008,-8.8783,-77.0517,10.5477
-13.4208,-72.6942,17486,-13.4067,-72.6867,2001,-13.4042,-72.6683,3.3507
-10.9317,-75.8875,16135,-10.8967,-75.9142,1995,-11.1292,-75.8233,22.9438
-10.4892,-75.9850,16328,-10.4867,-75.9958,1988,-10.5025,-76.0125,3.3521
-15.1258,-73.6283,14225,-15.1225,-73.6908,1981,-15.0283,-73.6875,12.5240
-10.8433,-77.5400,3740,-10.8467,-77.5133,1956,-10.8267,-77.4717,7.6964
-13.4767,-72.8433,14061,-13.5033,-72.8600,1955,-13.5450,-72.8683,8.0298
-7.9317,-77.4208,14714,-7.9667,-77.3917,1942,-7.9883,-77.4375,6.5310
-9.4000,-75.9892,5944,-9.3625,-76.0400,1939,-9.4067,-76.0533,7.0864
-11.5417,-76.2467,17732,-11.5983,-76.1908,1939,-11.8500,-76.0558,39.9049
-10.3708,-75.4733,11469,-10.3800,-75.4617,1932,-10.4050,-75.4567,4.1970
-11.4825,-75.4775,16496,-11.6525,-75.3867,1930,-11.6758,-75.2150,35.7364
-14.9758,-72.2050,17680,-15.1067,-72.1475,1926,-15.3133,-72.2175,37.3683
-10.0608,-77.8800,5075,-10.0483,-77.8442,1926,-10.0400,-77.8150,7.4884
-13.9158,-72.4108,15036,-13.9650,-72.3983,1920,-13.9158,-72.3650,4.9538
-8.9617,-77.6650,19468,-8.9542,-77.6433,1916,-8.9610,-77.6648,0.1000
-11.9125,-75.6700,15600,-11.9783,-75.7025,1916,-12.0317,-75.7167,14.1284
-11.5550,-74.9325,16000,-11.5708,-74.9575,1916,-11.5325,-74.9983,7.6006
-10.3342,-76.9292,18241,-10.2992,-76.9233,1913,-10.3058,-76.9000,4.4755
-8.5842,-78.0833,12539,-8.5600,-78.0500,1906,-8.5425,-78.0258,7.8300
-14.2142,-72.4908,16991,-14.3617,-72.3450,1906,-14.5183,-72.5392,34.0550
-11.7325,-76.9150,6512,-11.7317,-76.8917,1896,-11.7483,-76.8550,6.7704
-11.6450,-76.8700,7135,-11.6317,-76.8500,1893,-11.6475,-76.8317,4.1896
-8.9508,-77.6325,19625,-8.9558,-77.6208,1889,-8.9933,-77.6158,4.9592
-12.7917,-75.9875,12234,-12.7775,-75.9858,1887,-12.7575,-76.0000,4.0161
-13.7675,-73.9092,13946,-13.6700,-73.9092,1886,-13.8150,-73.9925,10.4315
-9.9083,-77.0533,17276,-10.0008,-77.0608,1883,-9.9200,-77.0375,2.1639
-9.7742,-77.2475,18382,-9.7967,-77.2417,1883,-9.8075,-77.2442,3.6913
-11.8183,-74.9908,16620,-11.8200,-75.0067,1870,-11.8558,-75.0425,6.9929
-13.2558,-72.9492,16968,-13.2242,-72.8925,1867,-13.2500,-72.8642,9.2345
-10.3792,-76.8742,18248,-10.3500,-76.8733,1867,-10.3790,-76.8745,0.1000
-11.3742,-76.4192,17217,-11.4483,-76.3850,1866,-11.2967,-76.4692,10.1630
-8.2750,-77.7583,15885,-8.2692,-77.7375,1857,-8.2542,-77.7267,4.1801
-8.2700,-77.2617,13645,-8.2867,-77.2658,1857,-8.2450,-77.2442,3.3708
-11.6758,-75.2150,16509,-11.7292,-75.2417,1857,-11.7775,-75.1008,16.7739
-12.7675,-74.3358,13051,-12.7317,-74.3933,1854,-12.7242,-74.2792,7.8002
-13.3550,-72.3617,17014,-13.3417,-72.3800,1847,-13.3267,-72.3775,3.5734
-15.4592,-73.1358,13861,-15.4300,-73.1383,1844,-15.3975,-73.1450,6.8940
-11.3583,-76.3217,17070,-11.3383,-76.4100,1844,-11.3725,-76.4183,10.6678
-8.7792,-78.1517,14028,-8.8317,-78.1108,1843,-8.8475,-78.1108,8.7921
-12.6408,-75.4592,17148,-12.5608,-75.5942,1843,-12.8017,-75.2367,30.0082
-12.5883,-76.4100,8208,-12.5433,-76.3800,1840,-12.4892,-76.3417,13.2479
-13.9192,-72.6067,16213,-13.9700,-72.6542,1837,-13.8125,-72.6558,12.9426
-9.6517,-76.5375,16040,-9.6733,-76.4833,1834,-9.6308,-76.4750,7.2368
-12.9367,-75.3350,17290,-12.9158,-75.2150,1828,-12.8133,-75.2300,17.7772
-9.8842,-76.2875,11446,-9.8767,-76.3242,1827,-9.8750,-76.3433,6.2075
-10.9325,-76.6067,17339,-10.6083,-76.6758,1824,-11.2958,-76.4733,42.7480
-8.0775,-77.3450,15206,-8.0533,-77.3492,1821,-8.1642,-77.4608,15.9637
-11.1692,-76.5117,17198,-11.0050,-76.5733,1821,-11.2942,-76.4758,14.3699
-12.5233,-74.7800,15495,-12.7742,-74.7883,1814,-12.6800,-75.0492,33.9956
-12.8767,-74.4433,13379,-12.8442,-74.5175,1811,-12.9417,-74.5742,15.9148
-11.9025,-76.0442,18707,-11.9533,-76.0458,1811,-11.9942,-75.9933,11.5532
-11.5308,-76.1100,17083,-11.5458,-76.1442,1811,-11.5825,-76.1692,8.6209
-11.7133,-77.0442,6138,-11.6875,-77.0258,1808,-11.6575,-77.0317,6.3245
-8.5767,-77.3592,13251,-8.6217,-77.3608,1805,-8.6283,-77.3875,6.5098
-10.4258,-76.0258,16062,-10.4725,-76.0092,1804,-10.4792,-75.9883,7.1871
-8.2217,-77.2717,14127,-8.2150,-77.2392,1801,-8.1342,-77.3292,11.5670
-14.3308,-74.8075,13064,-14.3108,-74.7808,1798,-14.2942,-74.7650,6.1225
-9.2708,-75.9317,4192,-9.2867,-75.9358,1797,-9.2967,-75.9242,2.9738
-13.5075,-75.7642,9570,-13.4933,-75.7367,1795,-13.4442,-75.6942,10.3215
-13.8133,-72.0275,15072,-13.9333,-71.9792,1788,-13.8900,-72.2758,28.1543
-13.1983,-72.7975,17309,-13.2125,-72.8008,1785,-13.2200,-72.8033,2.4789
-13.5150,-72.7750,14002,-13.5383,-72.8025,1765,-13.4775,-72.8400,8.1688
-8.0192,-77.4208,15000,-7.9975,-77.4125,1762,-8.0717,-77.4092,5.9469
-12.8025,-75.2358,17280,-12.8717,-75.2233,1759,-12.8133,-75.2300,1.3552
-8.7308,-77.6942,15748,-8.7242,-77.6483,1752,-8.7767,-77.6875,5.1220
-10.1858,-77.1767,15702,-10.0858,-77.1942,1749,-10.2483,-77.2500,10.5996
-8.1342,-77.3292,14133,-8.0850,-77.2792,1748,-8.0942,-77.3475,4.8634
-15.9450,-72.2508,14763,-15.9458,-72.2008,1748,-15.9292,-72.1825,7.5227
-8.8933,-77.5783,19127,-8.8867,-77.5900,1746,-8.8700,-77.6008,3.5755
-15.8742,-72.0758,15308,-15.8300,-72.0400,1746,-15.7992,-71.9867,12.6541
-11.3383,-76.5617,16870,-11.3342,-76.5275,1746,-11.2967,-76.4792,10.1174
-14.9117,-72.8458,17276,-14.6908,-72.5558,1745,-14.8150,-72.6125,27.2933
-11.6542,-77.0333,6489,-11.5892,-76.9717,1745,-11.7317,-76.9150,15.4898
-9.0992,-76.5042,10259,-9.0992,-76.4317,1729,-9.1692,-76.5583,9.7669
-14.8300,-72.3092,17664,-14.8250,-72.3900,1729,-14.9758,-72.2058,19.5953
-13.5217,-72.3308,14288,-13.5292,-72.2375,1729,-13.4250,-72.3225,10.7326
-8.3992,-76.5967,6207,-8.4133,-76.6108,1723,-8.4317,-76.6308,5.2039
-10.9883,-76.8400,17053,-11.0167,-76.7900,1719,-10.8233,-76.7267,22.0588
-13.0225,-74.2483,11246,-13.0275,-74.2192,1716,-12.9683,-74.1883,8.8478
-15.7308,-72.3583,17030,-15.7067,-72.3658,1712,-15.6017,-72.3900,14.6906
-13.2592,-73.1483,16118,-13.2300,-73.1392,1712,-13.2592,-73.1225,2.7994
-9.5525,-77.3508,18648,-9.5408,-77.3308,1710,-9.5242,-77.3133,4.9909
-15.5600,-73.8475,14068,-15.5308,-73.8492,1710,-15.4783,-73.8550,9.0724
-12.4542,-76.5233,7916,-12.4467,-76.4833,1706,-12.3933,-76.4400,11.2860
-12.3375,-75.1100,14465,-12.2858,-75.1050,1706,-12.2858,-75.2100,12.2878
-9.2508,-76.6958,13592,-9.1417,-76.7175,1693,-9.2525,-76.7525,6.2297
-9.9950,-77.0117,17227,-9.9317,-77.0358,1689,-9.9200,-77.0367,8.7366
-11.9867,-75.4275,14353,-11.9183,-75.4917,1686,-12.0567,-75.4067,8.0689
-9.4450,-76.3292,13910,-9.4583,-76.3700,1683,-9.4992,-76.4033,10.1107
-13.3450,-75.3667,14760,-13.3342,-75.3608,1680,-13.3042,-75.3350,5.6729
-9.1483,-77.5217,18884,-9.1700,-77.5308,1676,-9.1484,-77.5210,0.1000
-9.0450,-78.0583,10157,-9.0450,-78.0492,1670,-9.0292,-78.0383,2.8110
-14.4358,-71.7575,15711,-14.4900,-71.7208,1670,-14.5267,-71.6742,13.4806
-10.9633,-77.4525,4084,-10.9650,-77.4350,1670,-10.9633,-77.4208,3.4617
-14.0417,-73.7375,14747,-14.1392,-73.7583,1667,-14.2175,-73.8100,20.9698
-12.6975,-74.1992,15039,-12.7800,-74.1475,1664,-12.8583,-74.1717,18.0415
-11.9033,-75.9008,17066,-11.8692,-75.9408,1663,-11.9142,-75.9733,7.9887
-10.6108,-77.2708,9917,-10.6217,-77.2650,1660,-10.6192,-77.2408,3.4096
-15.1408,-73.0475,17050,-14.9225,-73.0167,1657,-15.3608,-72.9233,27.7578
-13.7608,-71.9175,14068,-13.6867,-71.9042,1654,-13.6825,-71.8817,9.4936
-10.2892,-76.9517,18372,-10.2775,-76.9325,1653,-10.2758,-76.9242,3.3546
-9.5017,-76.5000,15190,-9.5267,-76.5208,1647,-9.5458,-76.5750,9.5748
-13.3517,-72.8208,17572,-13.3508,-72.7775,1647,-13.3517,-72.7700,5.5072
-11.2725,-76.4575,17001,-11.2717,-76.4667,1647,-11.2958,-76.4692,2.8786
-10.8533,-75.9592,15797,-10.6650,-76.2642,1647,-10.9125,-75.9133,8.2429
-11.6950,-76.1942,17539,-11.7767,-76.1583,1644,-11.5425,-76.2467,17.8143
-11.9125,-76.2192,17349,-11.9017,-76.1475,1641,-11.9367,-76.1433,8.6827
-9.9450,-75.6158,7844,-9.9458,-75.6425,1640,-9.9450,-75.6558,4.3860
-13.9892,-72.1692,14314,-14.0092,-72.2100,1634,-14.0617,-72.1608,8.0716
-13.4275,-73.2017,6417,-13.4392,-73.1992,1634,-13.4492,-73.2025,2.3988
-9.6875,-77.0308,16240,-9.7667,-77.0317,1628,-9.8167,-77.1017,16.2637
-13.6175,-71.6950,12106,-13.6217,-71.7083,1627,-13.6033,-71.6833,2.0125
-8.1958,-77.7475,15987,-8.2183,-77.7400,1624,-8.2508,-77.7250,6.5685
-8.0108,-77.2125,14028,-8.0267,-77.2592,1624,-8.0842,-77.3250,14.8169
-14.4850,-73.5800,16197,-14.6092,-73.6425,1624,-14.3342,-73.7525,24.9912
-12.1650,-74.8875,15764,-12.1350,-74.9075,1624,-12.1292,-74.9325,6.3013
-9.9442,-76.1175,14124,-9.9675,-76.1283,1618,-9.9867,-76.1375,5.1871
-10.4567,-76.6625,16345,-10.4383,-76.6875,1618,-10.4533,-76.6975,3.8494
-15.4608,-71.8683,18188,-15.4617,-71.7975,1617,-15.5242,-71.6900,20.3777
-14.0758,-73.0200,16591,-14.2300,-72.8883,1608,-14.3275,-73.0825,28.6502
-13.5683,-71.6650,14855,-13.6683,-71.5450,1607,-13.5308,-71.7775,12.8638
-9.4542,-75.9008,7713,-9.4825,-75.8892,1598,-9.5192,-75.8867,7.3557
-13.7592,-74.2550,15400,-13.8433,-74.1550,1598,-13.6950,-74.3975,16.9697
-13.4192,-75.6442,12257,-13.4350,-75.5717,1595,-13.3167,-75.5717,13.7939
-13.3675,-72.5408,17493,-13.3542,-72.5358,1595,-13.3450,-72.5408,2.4893
-9.3775,-75.8583,6729,-9.3967,-75.8675,1592,-9.3883,-75.8858,3.2501
-11.5000,-76.4117,17391,-11.5558,-76.3125,1591,-11.5392,-76.2475,18.4262
-13.6692,-71.6442,12057,-13.6875,-71.6358,1585,-13.6558,-71.6492,1.5714
-13.6608,-74.4408,15570,-13.6767,-74.5300,1584,-13.4900,-74.5558,22.6301
